Manufacturer Part Number,Quantity,Manufacturer,Customer Reference
B4B-XH-A(LF)(SN),5,JST,CANHEADER1
"CMS06(TE12L,Q,M)",5,Toshiba,D21
FTSH-105-01-L-DV-K,5,Samtec,JTAG1
KGM21NR71H104KT,50,Kyocera AVX,C1 C2 C3 C4 C5 C6 C7 C8 C9 C22
KTS500B106M55N0T00,5,Nippon Chemi-Con,CIN1
PPTC031LFBN-RC,10,Sullins Connector Solutions,SPEEDCONTROLLER1 STEERINGSERVO1
PPTC051LFBN-RC,10,Sullins Connector Solutions,GPSMODULE1 LORAMODULE1
R1240N001B-TR-FE,5,Nisshinbo Micro Devices (ex-Ricoh),U6
STM32F446RET6,5,STMicroelectronics,U3
