Reference,Value,MPN,Side,X mm from outline left,Y mm from outline top,KiCad rotation degrees,Pad 1 net,Status,Footprint
R6,10k,RC1005F103CS,Top,3.5814,26.0604,90.0,GND,REVIEW ONLY - not assembler-normalized centroid,LoRa_Boat_Controller:RES_1005_SAM-M
SPEEDCONTROLLER1,PPTC031LFBN-RC,PPTC031LFBN-RC,Top,60.198,21.3106,-90.0,+3V3,REVIEW ONLY - not assembler-normalized centroid,LoRa_Boat_Controller:CONN_PPTC031_SUL
STEERINGSERVO1,PPTC031LFBN-RC,PPTC031LFBN-RC,Top,60.2488,27.2542,90.0,+3V3,REVIEW ONLY - not assembler-normalized centroid,LoRa_Boat_Controller:CONN_PPTC031_SUL
TP1,TP,,Top,53.7718,17.0942,0.0,PWM_PA8_ESCHDR,REVIEW ONLY - not assembler-normalized centroid,LoRa_Boat_Controller:amv_test_point
TP3,TP,,Top,53.6448,20.9804,0.0,PWM_PC6_SERVOHDR,REVIEW ONLY - not assembler-normalized centroid,LoRa_Boat_Controller:amv_test_point
TP4,TP,,Top,4.4704,12.9286,0.0,+3V3,REVIEW ONLY - not assembler-normalized centroid,LoRa_Boat_Controller:amv_test_point
TP5,TP,,Top,10.6172,12.9286,0.0,GND,REVIEW ONLY - not assembler-normalized centroid,LoRa_Boat_Controller:amv_test_point
U3,STM32F446RET6,STM32F446RET6,Top,39.7764,16.1798,0.0,VBAT,REVIEW ONLY - not assembler-normalized centroid,LoRa_Boat_Controller:LQFP64-10x10mm
U5,TCAN1042HDRQ1,TCAN1042HDRQ1,Top,56.9722,10.033,90.0,CAN_TXD_PA12,REVIEW ONLY - not assembler-normalized centroid,LoRa_Boat_Controller:D0008A_L
U6,R1240N001B-TR-FE,R1240N001B-TR-FE,Top,11.811,34.163,0.0,EN,REVIEW ONLY - not assembler-normalized centroid,LoRa_Boat_Controller:SOT-23-6W_PE-SOT23-6W-0512_NMD
VIN1,Battery+,,Top,1.27,29.3624,0.0,VIN_RAW,REVIEW ONLY - not assembler-normalized centroid,LoRa_Boat_Controller:amv_con1
